step, bot.name, bot.movementDirection, bot.linearVelocity, bot.joints
1,Bot1,(-0.325568, -0.529919),(0.0, 0.0),
1,Bot2,(0.45399, 0.292372),(0.0, 0.0),
1,Bot3,(-0.374607, -0.961262),(0.0, 0.0),
1,Bot4,(0.104528, -0.275637),(0.0, 0.0),
1,Bot5,(-0.390731, 0.882948),(0.0, 0.0),
1,Bot6,(0.139173, 0.956305),(0.0, 0.0),
1,Bot7,(-0.559193, 0.62932),(0.0, 0.0),
1,Bot8,(-0.999848, -0.325568),(0.0, 0.0),
1,Bot9,(0.913545, 0.857167),(0.0, 0.0),
1,Bot10,(-0.71934, -0.961262),(0.0, 0.0),
1,Bot11,(0.809017, -0.999848),(0.0, 0.0),
1,Bot12,(-0.601815, 0.642788),(0.0, 0.0),
2,Bot1,(-0.325568, -0.529919),(-9.859621, -15.76194),Bot2,Bot3,
2,Bot2,(0.45399, 0.292372),(14.81204, 9.687947),Bot1,Bot4,
2,Bot3,(-0.374607, -0.961262),(-6.417597, -17.33572),Bot1,Bot4,
2,Bot4,(0.104528, -0.275637),(7.200066, -16.82168),Bot2,Bot3,
2,Bot5,(-0.390731, 0.882948),(-7.524029, 16.99153),
2,Bot6,(0.139173, 0.956305),(2.668946, 18.38349),
2,Bot7,(-0.559193, 0.62932),(-12.34484, 13.89195),
2,Bot8,(-0.999848, -0.325568),(-17.66285, -5.745958),
2,Bot9,(0.913545, 0.857167),(13.54335, 12.70728),
2,Bot10,(-0.71934, -0.961262),(-11.12547, -14.87052),
2,Bot11,(0.809017, -0.999848),(11.6906, -14.44668),
2,Bot12,(-0.601815, 0.642788),(-12.70196, 13.56622),
3,Bot1,(-0.325568, -0.529919),(-24.24575, -36.20408),Bot2,Bot3,
3,Bot2,(0.45399, 0.292372),(33.1911, 21.23967),Bot1,Bot4,
3,Bot3,(-0.374607, -0.961262),(-14.19267, -42.56501),Bot1,Bot4,
3,Bot4,(0.104528, -0.275637),(18.64792, -38.45584),Bot2,Bot3,
3,Bot5,(-0.390731, 0.882948),(-18.1202, 40.91796),
3,Bot6,(0.139173, 0.956305),(6.425088, 44.2687),
3,Bot7,(-0.559193, 0.62932),(-29.72861, 33.45459),
3,Bot8,(-0.999848, -0.325568),(-42.53196, -13.83375),
3,Bot9,(0.913545, 0.857167),(32.61191, 30.5988),
3,Bot10,(-0.71934, -0.961262),(-26.78806, -35.80733),
3,Bot11,(0.809017, -0.999848),(28.15387, -34.79),
3,Bot12,(-0.601815, 0.642788),(-30.58871, 32.67012),
4,Bot1,(-0.325568, -0.529919),(-30.08106, -42.79942),Bot2,Bot3,
4,Bot2,(0.45399, 0.292372),(39.68456, 22.64711),Bot1,Bot4,
4,Bot3,(-0.374607, -0.961262),(-17.55791, -54.39142),Bot1,Bot4,
4,Bot4,(0.104528, -0.275637),(24.87757, -47.74353),Bot2,Bot3,
4,Bot5,(-0.390731, 0.882948),(-23.1321, 52.23427),
4,Bot6,(0.139173, 0.956305),(8.199679, 56.51094),
4,Bot7,(-0.559193, 0.62932),(-37.95, 42.70708),
4,Bot8,(-0.999848, -0.325568),(-54.2901, -17.6543),
4,Bot9,(0.913545, 0.857167),(41.62799, 39.05902),
4,Bot10,(-0.71934, -0.961262),(-34.1912, -45.70464),
4,Bot11,(0.809017, -0.999848),(35.94047, -44.41093),
4,Bot12,(-0.601815, 0.642788),(-39.04779, 41.70583),
5,Bot1,(-0.325568, -0.529919),(-33.14474, -45.17339),Bot2,Bot3,
5,Bot2,(0.45399, 0.292372),(43.26838, 20.39692),Bot1,Bot4,
5,Bot3,(-0.374607, -0.961262),(-20.20107, -62.62173),Bot1,Bot4,
5,Bot4,(0.104528, -0.275637),(29.47946, -54.5843),Bot2,Bot3,
5,Bot5,(-0.390731, 0.882948),(-26.78736, 60.49366),
5,Bot6,(0.139173, 0.956305),(9.495682, 65.44871),
5,Bot7,(-0.559193, 0.62932),(-43.94773, 49.4575),
5,Bot8,(-0.999848, -0.325568),(-62.87128, -20.44292),
5,Bot9,(0.913545, 0.857167),(48.20906, 45.23471),
5,Bot10,(-0.71934, -0.961262),(-39.59359, -52.92677),
5,Bot11,(0.809017, -0.999848),(41.62009, -51.4303),
5,Bot12,(-0.601815, 0.642788),(-45.21883, 48.29784),
6,Bot1,(-0.325568, -0.529919),(-35.13608, -45.9736),Bot2,Bot3,
6,Bot2,(0.45399, 0.292372),(46.26149, 16.47747),Bot1,Bot4,
6,Bot3,(-0.374607, -0.961262),(-22.85516, -70.03438),Bot1,Bot4,
6,Bot4,(0.104528, -0.275637),(33.51955, -61.48247),Bot2,Bot3,
6,Bot5,(-0.390731, 0.882948),(-30.23564, 68.29052),
6,Bot6,(0.139173, 0.956305),(10.71958, 73.88934),
6,Bot7,(-0.559193, 0.62932),(-49.60752, 55.82729),
6,Bot8,(-0.999848, -0.325568),(-70.97366, -23.07781),
6,Bot9,(0.913545, 0.857167),(54.42402, 51.06539),
6,Bot10,(-0.71934, -0.961262),(-44.69446, -59.74566),
6,Bot11,(0.809017, -0.999848),(46.97783, -58.05487),
6,Bot12,(-0.601815, 0.642788),(-51.04253, 54.51798),
7,Bot1,(-0.325568, -0.529919),(-36.47778, -45.95264),Bot2,Bot3,
7,Bot2,(0.45399, 0.292372),(49.23442, 11.62157),Bot1,Bot4,
7,Bot3,(-0.374607, -0.961262),(-25.59356, -77.31545),Bot1,Bot4,
7,Bot4,(0.104528, -0.275637),(37.22202, -69.13139),Bot2,Bot3,
7,Bot5,(-0.390731, 0.882948),(-33.77301, 76.29079),
7,Bot6,(0.139173, 0.956305),(11.97561, 82.5519),
7,Bot7,(-0.559193, 0.62932),(-55.41426, 62.36164),
7,Bot8,(-0.999848, -0.325568),(-79.28941, -25.7841),
7,Bot9,(0.913545, 0.857167),(60.8014, 57.04861),
7,Bot10,(-0.71934, -0.961262),(-49.93076, -66.74456),
7,Bot11,(0.809017, -0.999848),(52.47346, -64.85184),
7,Bot12,(-0.601815, 0.642788),(-57.01761, 60.89851),
8,Bot1,(-0.325568, -0.529919),(-37.22363, -45.36362),Bot2,Bot3,
8,Bot2,(0.45399, 0.292372),(52.33144, 6.115532),Bot1,Bot4,
8,Bot3,(-0.374607, -0.961262),(-28.3721, -84.51578),Bot1,Bot4,
8,Bot4,(0.104528, -0.275637),(40.47073, -77.64943),Bot2,Bot3,
8,Bot5,(-0.390731, 0.882948),(-37.45481, 84.61696),
8,Bot6,(0.139173, 0.956305),(13.28334, 91.56729),
8,Bot7,(-0.559193, 0.62932),(-61.45822, 69.16184),
8,Bot8,(-0.999848, -0.325568),(-87.94577, -28.60286),
8,Bot9,(0.913545, 0.857167),(67.43975, 63.27613),
8,Bot10,(-0.71934, -0.961262),(-55.38277, -74.03101),
8,Bot11,(0.809017, -0.999848),(58.19244, -71.92649),
8,Bot12,(-0.601815, 0.642788),(-63.23624, 67.53852),
9,Bot1,(-0.325568, -0.529919),(-37.36003, -44.36145),Bot2,Bot3,
9,Bot2,(0.45399, 0.292372),(55.61579, 0.045368),Bot1,Bot4,
9,Bot3,(-0.374607, -0.961262),(-31.13812, -91.53447),Bot1,Bot4,
9,Bot4,(0.104528, -0.275637),(43.01039, -86.81031),Bot2,Bot3,
9,Bot5,(-0.390731, 0.882948),(-41.26931, 93.24071),
9,Bot6,(0.139173, 0.956305),(14.6388, 100.9043),
9,Bot7,(-0.559193, 0.62932),(-67.7198, 76.20616),
9,Bot8,(-0.999848, -0.325568),(-96.91362, -31.52427),
9,Bot9,(0.913545, 0.857167),(74.31626, 69.72759),
9,Bot10,(-0.71934, -0.961262),(-61.03158, -81.58054),
9,Bot11,(0.809017, -0.999848),(64.11698, -79.25579),
9,Bot12,(-0.601815, 0.642788),(-69.67918, 74.41691),
10,Bot1,(-0.325568, -0.529919),(-36.86925, -43.06755),Bot2,Bot3,
10,Bot2,(0.45399, 0.292372),(58.93333, -6.471004),Bot1,Bot4,
10,Bot3,(-0.374607, -0.961262),(-33.81597, -98.22106),Bot1,Bot4,
10,Bot4,(0.104528, -0.275637),(44.76216, -96.29301),Bot2,Bot3,
10,Bot5,(-0.390731, 0.882948),(-45.1884, 102.0984),
10,Bot6,(0.139173, 0.956305),(16.03227, 110.4937),
10,Bot7,(-0.559193, 0.62932),(-74.1529, 83.44297),
10,Bot8,(-0.999848, -0.325568),(-106.1262, -34.52612),
10,Bot9,(0.913545, 0.857167),(81.38016, 76.35545),
10,Bot10,(-0.71934, -0.961262),(-66.83596, -89.33695),
10,Bot11,(0.809017, -0.999848),(70.20405, -86.78564),
10,Bot12,(-0.601815, 0.642788),(-76.29865, 81.48338),
11,Bot1,(0.070325, 0.997524),(-35.76003, -41.60001),Bot2,Bot3,
11,Bot2,(0.448715, 0.893675),(62.38358, -13.34494),Bot1,Bot4,
11,Bot3,(0.073948, 0.997262),(-36.47777, -104.6621),Bot1,Bot4,
11,Bot4,(0.879259, -0.476344),(45.86942, -106.2211),Bot2,Bot3,
11,Bot5,(-0.131685, -0.991292),(-49.18247, 111.1236),
11,Bot6,(0.923771, 0.382946),(17.45332, 120.2633),
11,Bot7,(-0.96453, 0.263974),(-80.70901, 90.81828),
11,Bot8,(0.996737, -0.080718),(-115.5139, -37.58548),
11,Bot9,(-0.914586, 0.404392),(88.57864, 83.10973),
11,Bot10,(-0.143855, -0.989599),(-72.75218, -97.24169),
11,Bot11,(0.978636, -0.205601),(76.40892, -94.4594),
11,Bot12,(-0.260314, -0.965524),(-83.04459, 88.68534),
12,Bot1,(0.070325, 0.997524),(-13.05865, 26.27415),Bot2,Bot3,
12,Bot2,(0.448715, 0.893675),(53.64602, -5.452146),Bot1,Bot4,
12,Bot3,(0.073948, 0.997262),(-23.10008, -41.51804),Bot1,Bot4,
12,Bot4,(0.879259, -0.476344),(64.74634, -97.17802),Bot2,Bot3,
12,Bot5,(-0.131685, -0.991292),(-43.10935, 49.42259),
12,Bot6,(0.923771, 0.382946),(47.86098, 107.5884),
12,Bot7,(-0.96453, 0.263974),(-98.5069, 80.30753),
12,Bot8,(0.996737, -0.080718),(-52.65707, -32.25216),
12,Bot9,(-0.914586, 0.404392),(34.79313, 79.59956),
12,Bot10,(-0.143855, -0.989599),(-61.81724, -112.2848),
12,Bot11,(0.978636, -0.205601),(95.69044, -80.97906),
12,Bot12,(-0.260314, -0.965524),(-74.18257, 32.97141),
13,Bot1,(0.070325, 0.997524),(-3.577936, 51.55264),Bot2,Bot3,
13,Bot2,(0.448715, 0.893675),(55.26126, -3.941359),Bot1,Bot4,
13,Bot3,(0.073948, 0.997262),(-19.45196, -22.51485),Bot1,Bot4,
13,Bot4,(0.879259, -0.476344),(71.17141, -96.0526),Bot2,Bot3,
13,Bot5,(-0.131685, -0.991292),(-43.03943, 29.70026),
13,Bot6,(0.923771, 0.382946),(61.13483, 108.3123),
13,Bot7,(-0.96453, 0.263974),(-109.7405, 80.48122),
13,Bot8,(0.996737, -0.080718),(-32.70068, -31.93864),
13,Bot9,(-0.914586, 0.404392),(17.20881, 82.2764),
13,Bot10,(-0.143855, -0.989599),(-60.94038, -123.2177),
13,Bot11,(0.978636, -0.205601),(107.3259, -80.12549),
13,Bot12,(-0.260314, -0.965524),(-74.6441, 14.60299),
14,Bot1,(0.070325, 0.997524),(2.49551, 64.89679),Bot2,Bot3,
14,Bot2,(0.448715, 0.893675),(60.42934, -3.319944),Bot1,Bot4,
14,Bot3,(0.073948, 0.997262),(-18.47369, -15.19001),Bot1,Bot4,
14,Bot4,(0.879259, -0.476344),(73.98188, -95.92181),Bot2,Bot3,
14,Bot5,(-0.131685, -0.991292),(-44.46469, 20.65191),
14,Bot6,(0.923771, 0.382946),(70.06818, 112.4414),
14,Bot7,(-0.96453, 0.263974),(-119.3053, 83.3736),
14,Bot8,(0.996737, -0.080718),(-23.63367, -32.8596),
14,Bot9,(-0.914586, 0.404392),(8.811962, 86.49423),
14,Bot10,(-0.143855, -0.989599),(-62.62172, -133.099),
14,Bot11,(0.978636, -0.205601),(117.0184, -82.47966),
14,Bot12,(-0.260314, -0.965524),(-77.43995, 5.722769),
15,Bot1,(0.070325, 0.997524),(7.650743, 74.74915),Bot2,Bot3,
15,Bot2,(0.448715, 0.893675),(67.08632, -2.302299),Bot1,Bot4,
15,Bot3,(0.073948, 0.997262),(-18.24684, -10.47962),Bot1,Bot4,
15,Bot4,(0.879259, -0.476344),(75.6614, -95.15903),Bot2,Bot3,
15,Bot5,(-0.131685, -0.991292),(-46.17154, 13.69551),
15,Bot6,(0.923771, 0.382946),(78.1466, 117.2235),
15,Bot7,(-0.96453, 0.263974),(-128.5248, 86.78783),
15,Bot8,(0.996737, -0.080718),(-16.68367, -34.00356),
15,Bot9,(-0.914586, 0.404392),(2.20833, 90.9832),
15,Bot10,(-0.143855, -0.989599),(-64.79369, -142.7489),
15,Bot11,(0.978636, -0.205601),(126.3108, -85.44853),
15,Bot12,(-0.260314, -0.965524),(-80.67426, -1.30158),
16,Bot1,(0.070325, 0.997524),(12.98276, 83.71938),Bot2,Bot3,
16,Bot2,(0.448715, 0.893675),(74.56741, -0.660686),Bot1,Bot4,
16,Bot3,(0.073948, 0.997262),(-18.41956, -5.272459),Bot1,Bot4,
16,Bot4,(0.879259, -0.476344),(76.86279, -93.46979),Bot2,Bot3,
16,Bot5,(-0.131685, -0.991292),(-47.84373, 6.525139),
16,Bot6,(0.923771, 0.382946),(86.28899, 121.9083),
16,Bot7,(-0.96453, 0.263974),(-137.7386, 90.12339),
16,Bot8,(0.996737, -0.080718),(-9.50074, -35.11063),
16,Bot9,(-0.914586, 0.404392),(-4.58431, 95.40429),
16,Bot10,(-0.143855, -0.989599),(-66.89443, -152.373),
16,Bot11,(0.978636, -0.205601),(135.6008, -88.32597),
16,Bot12,(-0.260314, -0.965524),(-83.84525, -8.516332),
17,Bot1,(0.070325, 0.997524),(18.66039, 92.22813),Bot2,Bot3,
17,Bot2,(0.448715, 0.893675),(82.56308, 1.507559),Bot1,Bot4,
17,Bot3,(0.073948, 0.997262),(-18.78347, 0.983903),Bot1,Bot4,
17,Bot4,(0.879259, -0.476344),(77.70058, -90.94862),Bot2,Bot3,
17,Bot5,(-0.131685, -0.991292),(-49.40687, -1.390549),
17,Bot6,(0.923771, 0.382946),(94.6944, 126.3117),
17,Bot7,(-0.96453, 0.263974),(-147.0112, 93.23321),
17,Bot8,(0.996737, -0.080718),(-1.549767, -36.12231),
17,Bot9,(-0.914586, 0.404392),(-12.01626, 99.67664),
17,Bot10,(-0.143855, -0.989599),(-68.78681, -162.004),
17,Bot11,(0.978636, -0.205601),(144.9669, -90.94221),
17,Bot12,(-0.260314, -0.965524),(-86.8335, -16.39018),
18,Bot1,(0.070325, 0.997524),(24.69203, 100.3324),Bot2,Bot3,
18,Bot2,(0.448715, 0.893675),(91.01273, 3.336358),Bot1,Bot4,
18,Bot3,(0.073948, 0.997262),(-19.13059, 8.424333),Bot1,Bot4,
18,Bot4,(0.879259, -0.476344),(78.15943, -87.74744),Bot2,Bot3,
18,Bot5,(-0.131685, -0.991292),(-50.85076, -10.07861),
18,Bot6,(0.923771, 0.382946),(103.3614, 130.4109),
18,Bot7,(-0.96453, 0.263974),(-156.3313, 96.1007),
18,Bot8,(0.996737, -0.080718),(7.190644, -37.03302),
18,Bot9,(-0.914586, 0.404392),(-20.10676, 103.7903),
18,Bot10,(-0.143855, -0.989599),(-70.45781, -171.6289),
18,Bot11,(0.978636, -0.205601),(154.3988, -93.28091),
18,Bot12,(-0.260314, -0.965524),(-89.62341, -24.94423),
19,Bot1,(0.070325, 0.997524),(31.03883, 108.0264),Bot2,Bot3,
19,Bot2,(0.448715, 0.893675),(98.76534, 5.187397),Bot1,Bot4,
19,Bot3,(0.073948, 0.997262),(-19.29764, 16.82783),Bot1,Bot4,
19,Bot4,(0.879259, -0.476344),(78.17671, -83.96333),Bot2,Bot3,
19,Bot5,(-0.131685, -0.991292),(-52.182, -19.43056),
19,Bot6,(0.923771, 0.382946),(112.2376, 134.229),
19,Bot7,(-0.96453, 0.263974),(-165.6699, 98.74576),
19,Bot8,(0.996737, -0.080718),(16.60612, -37.85044),
19,Bot9,(-0.914586, 0.404392),(-28.76092, 107.7539),
19,Bot10,(-0.143855, -0.989599),(-71.92899, -181.2246),
19,Bot11,(0.978636, -0.205601),(163.8651, -95.36734),
19,Bot12,(-0.260314, -0.965524),(-92.22742, -34.07985),
20,Bot1,(0.070325, 0.997524),(37.68166, 115.3353),Bot2,Bot3,
20,Bot2,(0.448715, 0.893675),(106.2004, 7.049461),Bot1,Bot4,
20,Bot3,(0.073948, 0.997262),(-19.15546, 26.29553),Bot1,Bot4,
20,Bot4,(0.879259, -0.476344),(77.54739, -79.76201),Bot2,Bot3,
20,Bot5,(-0.131685, -0.991292),(-53.41149, -29.31165),
20,Bot6,(0.923771, 0.382946),(121.2634, 137.7999),
20,Bot7,(-0.96453, 0.263974),(-174.9966, 101.1965),
20,Bot8,(0.996737, -0.080718),(26.55828, -38.5854),
20,Bot9,(-0.914586, 0.404392),(-37.86124, 111.5804),
20,Bot10,(-0.143855, -0.989599),(-73.22818, -190.7678),
20,Bot11,(0.978636, -0.205601),(173.3337, -97.23633),
20,Bot12,(-0.260314, -0.965524),(-94.66467, -43.67633),
21,Bot1,(0.070325, 0.997524),(44.56807, 122.303),Bot2,Bot3,
21,Bot2,(0.448715, 0.893675),(113.2078, 8.743204),Bot1,Bot4,
21,Bot3,(0.073948, 0.997262),(-18.36415, 37.4694),Bot1,Bot4,
21,Bot4,(0.879259, -0.476344),(76.30589, -75.49481),Bot2,Bot3,
21,Bot5,(-0.131685, -0.991292),(-54.551, -39.59444),
21,Bot6,(0.923771, 0.382946),(130.384, 141.157),
21,Bot7,(-0.96453, 0.263974),(-184.2847, 103.4807),
21,Bot8,(0.996737, -0.080718),(36.91757, -39.24912),
21,Bot9,(-0.914586, 0.404392),(-47.29851, 115.2828),
21,Bot10,(-0.143855, -0.989599),(-74.38371, -200.2389),
21,Bot11,(0.978636, -0.205601),(182.775, -98.92255),
21,Bot12,(-0.260314, -0.965524),(-96.95491, -53.61913),
22,Bot1,(-0.87002, -0.493017),(51.85236, 128.8929),Bot2,Bot3,
22,Bot2,(-0.456581, 0.889682),(119.6768, 10.34551),Bot1,Bot4,
22,Bot3,(-0.963841, -0.266477),(-16.74655, 48.22798),Bot1,Bot4,
22,Bot4,(0.978075, 0.208251),(74.09262, -70.47868),Bot2,Bot3,
22,Bot5,(0.959583, -0.281428),(-55.6122, -50.16765),
22,Bot6,(-0.935939, 0.352163),(139.5524, 144.3303),
22,Bot7,(-0.327402, -0.944885),(-193.512, 105.6233),
22,Bot8,(0.395602, -0.918422),(47.57148, -39.85213),
22,Bot9,(-0.302708, -0.953083),(-56.97613, 118.8731),
22,Bot10,(0.930747, -0.365665),(-75.41901, -209.6219),
22,Bot11,(0.998534, -0.054124),(124.9495, -97.2845),
22,Bot12,(0.959521, -0.281637),(-99.11729, -63.80906),
23,Bot1,(-0.87002, -0.493017),(25.38293, 81.28833),Bot2,Bot3,
23,Bot2,(-0.456581, 0.889682),(91.31831, 10.72994),Bot1,Bot4,
23,Bot3,(-0.963841, -0.266477),(-50.15129, 14.79665),Bot1,Bot4,
23,Bot4,(0.978075, 0.208251),(72.51311, -41.20613),Bot2,Bot3,
23,Bot5,(0.959583, -0.281428),(-16.08457, -34.59965),
23,Bot6,(-0.935939, 0.352163),(79.61425, 146.259),
23,Bot7,(-0.327402, -0.944885),(-178.9946, 62.745),
23,Bot8,(0.395602, -0.918422),(36.08247, -71.52002),
23,Bot9,(-0.302708, -0.953083),(-44.09976, 71.92355),
23,Bot10,(0.930747, -0.365665),(-36.4693, -195.752),
23,Bot11,(0.998534, -0.054124),(80.43248, -65.19943),
23,Bot12,(0.959521, -0.281637),(-55.87403, -48.80709),
24,Bot1,(-0.87002, -0.493017),(19.98873, 66.42681),Bot2,Bot3,
24,Bot2,(-0.456581, 0.889682),(81.60546, 10.77939),Bot1,Bot4,
24,Bot3,(-0.963841, -0.266477),(-57.90027, 9.902478),Bot1,Bot4,
24,Bot4,(0.978075, 0.208251),(66.28976, -27.8376),Bot2,Bot3,
24,Bot5,(0.959583, -0.281428),(-0.499338, -34.74007),
24,Bot6,(-0.935939, 0.352163),(59.88004, 148.2495),
24,Bot7,(-0.327402, -0.944885),(-178.3739, 46.36114),
24,Bot8,(0.395602, -0.918422),(37.93188, -84.7196),
24,Bot9,(-0.302708, -0.953083),(-44.74756, 54.75186),
24,Bot10,(0.930747, -0.365665),(-21.06241, -195.4732),
24,Bot11,(0.998534, -0.054124),(25.97773, -25.36576),
24,Bot12,(0.959521, -0.281637),(-39.3653, -48.9087),
25,Bot1,(-0.87002, -0.493017),(17.67397, 53.21469),Bot2,Bot3,
25,Bot2,(-0.456581, 0.889682),(69.00616, 8.292848),Bot1,Bot4,
25,Bot3,(-0.963841, -0.266477),(-57.8214, 11.4972),Bot1,Bot4,
25,Bot4,(0.978075, 0.208251),(57.86735, -18.66171),Bot2,Bot3,
25,Bot5,(0.959583, -0.281428),(9.055757, -38.87169),
25,Bot6,(-0.935939, 0.352163),(48.2247, 148.0369),
25,Bot7,(-0.327402, -0.944885),(-181.1851, 36.63754),
25,Bot8,(0.395602, -0.918422),(43.19555, -93.21045),
25,Bot9,(-0.302708, -0.953083),(-48.81948, 45.08192),
25,Bot10,(0.930747, -0.365665),(-11.56366, -198.5364),
25,Bot11,(0.998534, -0.054124),(-5.367445, -12.37634),
25,Bot12,(0.959521, -0.281637),(-29.57085, -52.82661),
26,Bot1,(-0.87002, -0.493017),(17.93543, 48.25849),Bot2,Bot3,
26,Bot2,(-0.456581, 0.889682),(60.79882, 7.285033),Bot1,Bot4,
26,Bot3,(-0.963841, -0.266477),(-55.77766, 13.8286),Bot1,Bot4,
26,Bot4,(0.978075, 0.208251),(48.23495, -10.88512),Bot2,Bot3,
26,Bot5,(0.959583, -0.281428),(17.46416, -43.78012),
26,Bot6,(-0.935939, 0.352163),(38.38025, 148.5817),
26,Bot7,(-0.327402, -0.944885),(-184.5849, 28.16316),
26,Bot8,(0.395602, -0.918422),(49.13185, -100.7549),
26,Bot9,(-0.302708, -0.953083),(-53.55629, 36.82781),
26,Bot10,(0.930747, -0.365665),(-3.17473, -202.1552),
26,Bot11,(0.998534, -0.054124),(-16.18308, -5.429698),
26,Bot12,(0.959521, -0.281637),(-21.03292, -57.47543),
27,Bot1,(-0.87002, -0.493017),(17.41007, 42.01369),Bot2,Bot3,
